Unique ID, Nationality, DOB, Marital Status, Number of Children, Work Reason, Characteristics, Work Skill, Reason for Leaving ,Current Job, Previous Jobs, Start Date, Current Job Start Date, End Date
7162,Israeli,15/9/1995,Single,7,BEHAVIOR,['Scar arm'],['Mathematics'; 'Computer'],Voluntarily,Farmer,['Computer_Repair'; 'Food_TesterCivilian_Guard'; 'Boulder_Reducer'; 'Shoe_Tester'; 'Construction'; 'Farmer'],7/17/2010,2/18/2017,NA
3810,German,6/1/1995,Other,2,DEBT,['Long legs'],['Mechanical'; 'Mechanical'],Voluntarily,Boulder_Reducer,['Construction'; 'Construction'; 'Shoe_Tester'; 'Shoe_Tester'],9/2/2010,1/20/2019,NA
7928,Italian,28/5/1979,Single,1,CULTURE,['Long legs'; 'Long legs'],['Strong'; 'Strong'],Voluntarily,Food_TesterCivilian_Guard,['Boulder_Reducer'; 'Boulder_Reducer'; 'Farmer'; 'Boulder_Reducer'],1/21/2014,1/20/2017,NA
7803,Ghanaian,23/12/1995,Married,3,DEBT,['Long legs'],['Construction'],Exhaustion,Farmer,['Food_TesterCivilian_Guard'],9/11/2010,8/3/2018,NA
5893,Italian,6/6/1979,Other,1,DEBT,['Tattoo back'; 'Low IQ'],['Construction'],Time,Shoe_Tester,['Office_Worker'; 'Farmer'; 'Ditch_Digger'; 'Farmer'],9/10/2010,5/15/2019,NA
3300,American,20/10/1984,Single,5,BEHAVIOR,['Tattoo forearm'],['Computer'; 'Computer'],Exhaustion,Office_Worker,NA,4/25/2010,4/25/2010,NA
6350,American,12/4/1984,Single,2,BEHAVIOR,['Low IQ'],['Strong'; 'Mechanical'],Voluntarily,Ditch_Digger,['Office_Worker'],3/21/2016,11/5/2019,NA
6307,English,12/7/1984,Married,6,CULTURE,['Long legs'; 'Crafty'],['Construction'],Voluntarily,Food_TesterCivilian_Guard,['Shoe_Tester'; 'Farmer'],12/25/2016,9/6/2019,NA
4324,Italian,2/2/1995,Single,4,DEBT,['Long legs'; 'One arm'],['Construction'],Exhaustion,Boulder_Reducer,['Ditch_Digger'; 'Food_TesterCivilian_Guard'; 'Construction'; 'Ditch_Digger'; 'Shoe_Tester'],4/2/2016,2/4/2018,NA
3328,German,25/9/1995,Married,4,BEHAVIOR,['One arm'],['Shoe-making'],Exhaustion,Office_Worker,NA,12/21/2012,12/21/2012,NA
5438,American,26/11/1965,Other,7,DEBT,['Low IQ'; 'No teeth'],['Mathematics'; 'Typing'],Voluntarily,Construction,NA,4/7/2012,4/7/2012,NA
2397,Russian,15/11/1984,Single,6,PARENTS,['Long legs'; 'Scar arm'],['Computer'],Exhaustion,Computer_Repair,['Food_TesterCivilian_Guard'; 'Boulder_Reducer'; 'Office_Worker'; 'Office_Worker'; 'Shoe_Tester'; 'Boulder_Reducer'],5/16/2010,12/21/2019,NA
5701,Israeli,18/11/1975,Single,5,CULTURE,['Long legs'],['Mechanical'],Voluntarily,Office_Worker,NA,8/26/2014,8/26/2014,NA
3200,Russian,16/5/1985,Other,0,PARENTS,['No teeth'],['Shoe-making'; 'Mechanical'],NA,NA,['Ditch_Digger'],8/4/2016,NA,11/12/2017
2493,Ghanaian,21/1/1985,Other,1,PARENTS,['One arm'],['Mechanical'; 'Typing'],Exhaustion,Shoe_Tester,['Ditch_Digger'; 'Ditch_Digger'; 'Shoe_Tester'; 'Construction'; 'Food_TesterCivilian_Guard'; 'Food_TesterCivilian_Guard'],8/26/2014,8/7/2017,NA
2959,Italian,25/11/1979,Single,0,CULTURE,['Low IQ'],['Shoe-making'; 'Shoe-making'],Time,Computer_Repair,['Boulder_Reducer'; 'Boulder_Reducer'; 'Computer_Repair'; 'Farmer'; 'Shoe_Tester'; 'Ditch_Digger'],10/1/2016,10/4/2017,NA
7994,Russian,23/4/1969,Single,5,CULTURE,['Crafty'],['Shoe-making'],Time,Shoe_Tester,['Farmer'; 'Office_Worker'],2/25/2014,11/3/2019,NA
5095,American,25/9/1979,Married,7,PARENTS,['One arm'],['Strong'],Time,Boulder_Reducer,['Ditch_Digger'; 'Computer_Repair'],11/7/2012,8/15/2018,NA
8822,English,6/9/1965,Married,6,CULTURE,['Crafty'; 'No teeth'],['Computer'; 'Construction'],Exhaustion,Farmer,['Boulder_Reducer'; 'Computer_Repair'; 'Ditch_Digger'],2/9/2010,3/15/2019,NA
195,English,12/5/1969,Other,5,CULTURE,['Crafty'],['Mechanical'; 'Construction'],Exhaustion,Computer_Repair,['Farmer'; 'Office_Worker'; 'Food_TesterCivilian_Guard'; 'Computer_Repair'; 'Computer_Repair'],10/25/2010,1/17/2017,NA
2240,Italian,2/9/1965,Other,6,CULTURE,['Scar arm'],['Construction'],Exhaustion,Ditch_Digger,['Food_TesterCivilian_Guard'; 'Farmer'; 'Computer_Repair'; 'Ditch_Digger'],11/25/2016,9/13/2017,NA
150,Russian,8/5/1984,Other,0,DEBT,['Tattoo forearm'; 'Scar on face'],['Computer'],Exhaustion,Construction,['Ditch_Digger'],7/17/2012,8/8/2018,NA
8967,American,15/8/1984,Married,4,PARENTS,['Low IQ'; 'Dark skin'],['Shoe-making'; 'Strong'],NA,NA,['Food_TesterCivilian_Guard'],9/22/2014,NA,10/5/2019
1588,Ghanaian,9/6/1975,Other,3,CULTURE,['Tattoo forearm'],['Mechanical'; 'Typing'],Voluntarily,Office_Worker,['Food_TesterCivilian_Guard'],3/14/2016,8/19/2018,NA
1942,German,26/7/1975,Single,0,DEBT,['Scar on face'],['Electrical'],Time,Food_TesterCivilian_Guard,['Shoe_Tester'; 'Shoe_Tester'; 'Food_TesterCivilian_Guard'; 'Boulder_Reducer'; 'Construction'],3/2/2016,11/26/2019,NA
1299,Israeli,17/4/1987,Single,7,BEHAVIOR,['Scar on face'],['Typing'],NA,NA,['Boulder_Reducer'; 'Construction'; 'Food_TesterCivilian_Guard'],11/10/2014,NA,3/28/2019
1282,American,15/8/1969,Single,3,PARENTS,['No teeth'; 'Scar arm'],['Shoe-making'; 'Typing'],Time,Shoe_Tester,['Office_Worker'; 'Boulder_Reducer'; 'Shoe_Tester'; 'Food_TesterCivilian_Guard'; 'Computer_Repair'],4/3/2010,9/18/2018,NA
9960,English,13/11/1979,Married,2,DEBT,['One arm'; 'Long legs'],['Typing'],Exhaustion,Shoe_Tester,['Food_TesterCivilian_Guard'; 'Construction'],4/20/2012,1/16/2019,NA
6074,Israeli,21/11/1985,Other,5,PARENTS,['Tattoo forearm'],['Mechanical'; 'Mechanical'],Voluntarily,Construction,['Construction'; 'Farmer'; 'Shoe_Tester'],3/23/2016,12/2/2018,NA
743,Israeli,13/6/1969,Married,2,DEBT,['Scar arm'; 'Crafty'],['Typing'],Time,Shoe_Tester,['Farmer'; 'Ditch_Digger'; 'Farmer'; 'Shoe_Tester'; 'Boulder_Reducer'],6/8/2012,10/18/2019,NA
7559,Israeli,12/10/1969,Married,0,PARENTS,['No teeth'],['Shoe-making'],NA,NA,['Ditch_Digger'; 'Ditch_Digger'; 'Food_TesterCivilian_Guard'],4/6/2012,NA,2/21/2019
1988,German,16/11/1984,Married,6,CULTURE,['Tattoo back'],['Typing'; 'Computer'],Exhaustion,Shoe_Tester,['Construction'; 'Computer_Repair'; 'Food_TesterCivilian_Guard'; 'Ditch_Digger'],7/8/2010,2/15/2017,NA
7354,English,6/8/1995,Single,7,DEBT,['Low IQ'; 'Tattoo forearm'],['Electrical'; 'Typing'],NA,NA,['Office_Worker'; 'Construction'],6/25/2012,NA,9/14/2018
6688,English,19/1/1987,Single,5,PARENTS,['Dark skin'; 'Crafty'],['Computer'],Voluntarily,Computer_Repair,['Food_TesterCivilian_Guard'; 'Boulder_Reducer'; 'Boulder_Reducer'],5/1/2012,6/16/2018,NA
5938,Italian,15/12/1985,Married,5,BEHAVIOR,['Scar on face'],['Strong'; 'Mechanical'],NA,NA,['Construction'; 'Construction'],9/16/2014,NA,9/21/2018
3358,Italian,8/6/1985,Single,5,BEHAVIOR,['One arm'; 'Dark skin'],['Mechanical'; 'Mathematics'],Time,Farmer,['Farmer'; 'Boulder_Reducer'; 'Food_TesterCivilian_Guard'; 'Construction'; 'Construction'; 'Office_Worker'],2/14/2012,8/8/2018,NA
2592,German,25/6/1969,Married,3,DEBT,['One arm'],['Computer'; 'Construction'],Exhaustion,Ditch_Digger,['Food_TesterCivilian_Guard'; 'Office_Worker'; 'Shoe_Tester'; 'Office_Worker'; 'Ditch_Digger'; 'Farmer'],1/22/2010,11/12/2018,NA
8345,Israeli,23/9/1984,Single,0,PARENTS,['Scar arm'],['Construction'],Time,Construction,['Boulder_Reducer'; 'Office_Worker'; 'Ditch_Digger'],9/10/2012,11/20/2019,NA
3449,German,9/5/1987,Single,6,DEBT,['Long legs'; 'Low IQ'],['Strong'],Voluntarily,Office_Worker,['Food_TesterCivilian_Guard'; 'Shoe_Tester'; 'Boulder_Reducer'; 'Food_TesterCivilian_Guard'],1/26/2016,1/11/2019,NA
8621,German,9/6/1995,Other,5,BEHAVIOR,['Crafty'; 'Low IQ'],['Construction'; 'Electrical'],Exhaustion,Construction,['Food_TesterCivilian_Guard'; 'Office_Worker'],4/16/2010,5/28/2018,NA
6224,Israeli,8/7/1965,Married,0,DEBT,['Tattoo back'; 'Low IQ'],['Mechanical'],Time,Ditch_Digger,['Computer_Repair'; 'Farmer'; 'Office_Worker'],3/16/2014,11/12/2017,NA
3094,Russian,16/8/1985,Single,5,PARENTS,['No teeth'; 'Tattoo back'],['Mathematics'; 'Mechanical'],Time,Shoe_Tester,['Construction'; 'Ditch_Digger'; 'Computer_Repair'; 'Shoe_Tester'; 'Computer_Repair'; 'Boulder_Reducer'],9/26/2010,5/17/2019,NA
8895,German,15/1/1985,Single,2,CULTURE,['Scar arm'],['Mechanical'],NA,NA,['Farmer'; 'Computer_Repair'; 'Food_TesterCivilian_Guard'],5/13/2014,NA,6/2/2018
5206,English,1/12/1987,Single,6,CULTURE,['Tattoo back'],['Strong'],Exhaustion,Food_TesterCivilian_Guard,NA,6/17/2012,6/17/2012,NA
6914,American,22/10/1969,Married,0,CULTURE,['Crafty'; 'No teeth'],['Typing'],NA,NA,['Shoe_Tester'; 'Farmer'; 'Farmer'],9/10/2010,NA,8/25/2019
9048,Israeli,24/4/1975,Single,3,DEBT,['Tattoo back'; 'One arm'],['Electrical'; 'Mechanical'],NA,NA,['Boulder_Reducer'],5/15/2012,NA,8/6/2017
3774,Israeli,1/6/1975,Married,5,DEBT,['Tattoo back'; 'Long legs'],['Mechanical'; 'Computer'],Voluntarily,Ditch_Digger,['Food_TesterCivilian_Guard'; 'Construction'],11/27/2012,3/16/2019,NA
3277,Italian,24/10/1984,Other,5,BEHAVIOR,['Scar on face'; 'Scar on face'],['Typing'; 'Mechanical'],Exhaustion,Ditch_Digger,['Food_TesterCivilian_Guard'; 'Computer_Repair'; 'Office_Worker'; 'Ditch_Digger'; 'Computer_Repair'],12/18/2014,2/14/2019,NA
387,Israeli,6/7/1975,Married,3,DEBT,['Tattoo forearm'; 'Dark skin'],['Construction'; 'Mechanical'],Voluntarily,Shoe_Tester,['Food_TesterCivilian_Guard'; 'Computer_Repair'],1/18/2012,1/6/2018,NA
6277,Italian,21/11/1969,Married,1,BEHAVIOR,['Tattoo forearm'],['Shoe-making'; 'Mathematics'],NA,NA,['Ditch_Digger'],2/17/2012,NA,7/28/2019
4617,Italian,12/1/1965,Single,7,PARENTS,['Crafty'],['Shoe-making'],NA,NA,['Farmer'],12/16/2014,NA,3/19/2019
317,Russian,3/10/1975,Married,2,BEHAVIOR,['Scar arm'; 'Low IQ'],['Mathematics'],Exhaustion,Office_Worker,['Boulder_Reducer'; 'Farmer'; 'Ditch_Digger'],8/18/2012,7/24/2017,NA
9377,Ghanaian,2/7/1984,Married,2,DEBT,['Long legs'],['Construction'],Exhaustion,Office_Worker,['Boulder_Reducer'; 'Construction'; 'Farmer'; 'Ditch_Digger'; 'Boulder_Reducer'; 'Computer_Repair'],12/6/2014,6/14/2019,NA
8852,American,11/10/1975,Single,0,CULTURE,['Tattoo back'; 'No teeth'],['Typing'; 'Strong'],NA,NA,['Office_Worker'; 'Construction'; 'Food_TesterCivilian_Guard'],10/1/2012,NA,9/17/2018
2993,German,15/8/1975,Single,3,BEHAVIOR,['Tattoo back'; 'No teeth'],['Strong'; 'Mathematics'],Exhaustion,Ditch_Digger,['Shoe_Tester'; 'Construction'; 'Shoe_Tester'; 'Farmer'; 'Shoe_Tester'; 'Shoe_Tester'],9/17/2016,10/24/2017,NA
9834,English,15/3/1975,Other,6,DEBT,['Low IQ'; 'No teeth'],['Electrical'; 'Computer'],Voluntarily,Boulder_Reducer,['Ditch_Digger'; 'Shoe_Tester'; 'Construction'],3/9/2010,6/9/2019,NA
5344,Ghanaian,19/6/1987,Other,1,BEHAVIOR,['Tattoo back'; 'Tattoo back'],['Computer'],Time,Food_TesterCivilian_Guard,['Computer_Repair'; 'Ditch_Digger'; 'Food_TesterCivilian_Guard'; 'Construction'],10/14/2014,3/28/2017,NA
5186,Italian,9/11/1995,Married,6,PARENTS,['Low IQ'; 'No teeth'],['Electrical'; 'Construction'],NA,NA,['Boulder_Reducer'],2/28/2016,NA,12/1/2018
9415,Russian,16/3/1975,Other,3,DEBT,['Dark skin'; 'One arm'],['Shoe-making'],Exhaustion,Shoe_Tester,['Shoe_Tester'; 'Ditch_Digger'; 'Shoe_Tester'; 'Ditch_Digger'],5/22/2016,3/26/2019,NA
2865,Israeli,1/9/1969,Married,4,CULTURE,['Scar arm'; 'One arm'],['Construction'; 'Construction'],Exhaustion,Boulder_Reducer,['Construction'; 'Shoe_Tester'; 'Boulder_Reducer'; 'Ditch_Digger'; 'Farmer'; 'Food_TesterCivilian_Guard'],2/26/2012,12/1/2018,NA
169,Russian,28/4/1995,Single,3,CULTURE,['Scar arm'],['Strong'],NA,NA,['Office_Worker'; 'Ditch_Digger'],11/16/2014,NA,6/4/2019
7825,English,22/4/1965,Single,5,PARENTS,['Dark skin'],['Mechanical'; 'Typing'],Exhaustion,Boulder_Reducer,['Shoe_Tester'],4/10/2012,1/4/2018,NA
2982,Israeli,25/7/1985,Married,5,PARENTS,['Long legs'],['Electrical'],Time,Ditch_Digger,['Boulder_Reducer'; 'Food_TesterCivilian_Guard'],10/5/2012,10/28/2017,NA
2718,American,21/5/1984,Single,3,CULTURE,['No teeth'; 'Scar arm'],['Mathematics'; 'Mathematics'],Exhaustion,Boulder_Reducer,['Computer_Repair'; 'Boulder_Reducer'; 'Boulder_Reducer'; 'Boulder_Reducer'],10/18/2014,2/7/2019,NA
7079,Ghanaian,6/6/1985,Other,2,DEBT,['One arm'; 'Scar on face'],['Typing'],Voluntarily,Computer_Repair,['Food_TesterCivilian_Guard'; 'Computer_Repair'; 'Construction'],5/6/2016,6/7/2017,NA
3628,Ghanaian,23/2/1969,Other,0,CULTURE,['Tattoo forearm'],['Typing'],NA,NA,['Ditch_Digger'],11/22/2016,NA,11/13/2017
6774,American,9/9/1975,Other,2,BEHAVIOR,['One arm'],['Electrical'],Voluntarily,Ditch_Digger,['Farmer'; 'Farmer'; 'Office_Worker'; 'Office_Worker'],9/26/2014,12/4/2019,NA
4298,American,14/5/1965,Single,5,DEBT,['Crafty'],['Mechanical'; 'Mechanical'],Voluntarily,Shoe_Tester,['Office_Worker'; 'Boulder_Reducer'; 'Computer_Repair'; 'Construction'; 'Boulder_Reducer'; 'Shoe_Tester'],11/22/2016,5/18/2019,NA
4871,German,16/12/1965,Single,4,CULTURE,['No teeth'; 'One arm'],['Typing'],Voluntarily,Farmer,['Food_TesterCivilian_Guard'; 'Ditch_Digger'],4/26/2010,3/15/2019,NA
3712,English,13/12/1969,Married,1,CULTURE,['No teeth'; 'Scar on face'],['Mechanical'],Time,Food_TesterCivilian_Guard,['Construction'; 'Boulder_Reducer'; 'Farmer'],6/20/2016,8/5/2019,NA
1970,Ghanaian,3/4/1965,Married,2,CULTURE,['Tattoo forearm'],['Typing'],Voluntarily,Boulder_Reducer,['Computer_Repair'; 'Ditch_Digger'; 'Shoe_Tester'],7/23/2010,7/6/2019,NA
4510,Israeli,28/6/1965,Other,7,CULTURE,['Tattoo forearm'],['Construction'],Time,Food_TesterCivilian_Guard,['Boulder_Reducer'; 'Food_TesterCivilian_Guard'; 'Food_TesterCivilian_Guard'; 'Ditch_Digger'],4/3/2010,6/5/2018,NA
8907,Israeli,6/11/1979,Single,1,BEHAVIOR,['One arm'; 'Dark skin'],['Construction'; 'Computer'],NA,NA,['Food_TesterCivilian_Guard'; 'Boulder_Reducer'; 'Computer_Repair'],7/13/2014,NA,8/24/2018
6463,Israeli,10/7/1984,Married,1,PARENTS,['Low IQ'],['Mathematics'],Time,Construction,['Boulder_Reducer'; 'Boulder_Reducer'; 'Construction'; 'Farmer'],12/18/2010,8/3/2017,NA
4271,German,26/2/1987,Other,0,PARENTS,['Tattoo forearm'],['Mathematics'; 'Mathematics'],Voluntarily,Boulder_Reducer,['Farmer'; 'Shoe_Tester'; 'Shoe_Tester'],11/23/2010,5/4/2017,NA
5267,American,20/1/1969,Other,0,DEBT,['Low IQ'; 'One arm'],['Construction'],NA,NA,['Office_Worker'],7/26/2012,NA,11/28/2017
8626,Ghanaian,11/6/1984,Married,0,PARENTS,['Crafty'; 'Scar arm'],['Computer'],Time,Office_Worker,['Computer_Repair'; 'Boulder_Reducer'; 'Farmer'; 'Construction'; 'Shoe_Tester'; 'Ditch_Digger'],6/25/2014,8/19/2017,NA
1671,English,20/10/1987,Married,5,DEBT,['Dark skin'],['Mathematics'],NA,NA,['Construction'; 'Ditch_Digger'],4/19/2016,NA,2/21/2017
5634,Israeli,16/6/1965,Other,2,PARENTS,['Scar on face'],['Mechanical'; 'Electrical'],Exhaustion,Shoe_Tester,['Ditch_Digger'; 'Food_TesterCivilian_Guard'; 'Shoe_Tester'; 'Ditch_Digger'],6/27/2010,2/23/2019,NA
4842,Ghanaian,3/2/1979,Other,2,PARENTS,['Tattoo forearm'; 'One arm'],['Mathematics'; 'Mechanical'],Time,Office_Worker,['Shoe_Tester'; 'Shoe_Tester'; 'Construction'],5/22/2010,8/21/2018,NA
9867,English,3/9/1979,Married,5,PARENTS,['One arm'],['Construction'],Voluntarily,Shoe_Tester,['Boulder_Reducer'; 'Office_Worker'; 'Computer_Repair'],9/5/2010,7/27/2017,NA
6941,Israeli,21/3/1979,Other,0,CULTURE,['Crafty'; 'Crafty'],['Shoe-making'],Exhaustion,Food_TesterCivilian_Guard,['Computer_Repair'; 'Ditch_Digger'; 'Shoe_Tester'; 'Farmer'; 'Computer_Repair'],10/4/2014,4/2/2019,NA
2784,German,19/2/1987,Single,5,DEBT,['No teeth'; 'No teeth'],['Mechanical'; 'Construction'],Exhaustion,Computer_Repair,['Shoe_Tester'],7/5/2012,7/18/2018,NA
4358,American,27/6/1969,Married,7,PARENTS,['Scar arm'],['Shoe-making'],NA,NA,['Office_Worker'; 'Construction'],3/18/2010,NA,3/8/2017
1791,German,14/7/1965,Single,4,CULTURE,['Crafty'],['Computer'; 'Mathematics'],Exhaustion,Office_Worker,NA,12/16/2014,12/16/2014,NA
865,Italian,11/5/1985,Other,7,DEBT,['No teeth'; 'Scar on face'],['Mechanical'; 'Construction'],Exhaustion,Computer_Repair,['Food_TesterCivilian_Guard'; 'Food_TesterCivilian_Guard'],10/24/2016,5/18/2019,NA
3648,Ghanaian,18/4/1969,Married,0,PARENTS,['Dark skin'],['Mathematics'],Voluntarily,Office_Worker,NA,11/21/2016,11/21/2016,NA
7684,Russian,6/5/1969,Other,1,BEHAVIOR,['Tattoo forearm'],['Electrical'],Time,Computer_Repair,['Food_TesterCivilian_Guard'],8/17/2016,8/11/2019,NA
3445,American,19/3/1984,Other,4,DEBT,['Scar arm'],['Computer'],Voluntarily,Food_TesterCivilian_Guard,['Office_Worker'; 'Food_TesterCivilian_Guard'],6/14/2012,7/13/2019,NA
6706,German,1/3/1995,Married,0,DEBT,['Scar on face'; 'Scar on face'],['Computer'],Exhaustion,Computer_Repair,['Ditch_Digger'; 'Office_Worker'],11/2/2016,6/22/2019,NA
393,English,10/7/1965,Married,1,PARENTS,['One arm'; 'Tattoo back'],['Computer'; 'Strong'],NA,NA,['Shoe_Tester'],4/26/2012,NA,9/8/2019
9665,Israeli,13/10/1987,Married,7,DEBT,['Long legs'; 'One arm'],['Strong'; 'Electrical'],NA,NA,['Office_Worker'],9/17/2016,NA,5/1/2019
4125,American,28/2/1987,Other,1,DEBT,['Low IQ'],['Typing'; 'Electrical'],Voluntarily,Construction,['Ditch_Digger'; 'Boulder_Reducer'; 'Construction'],9/22/2012,6/7/2017,NA
489,Italian,10/4/1975,Single,3,PARENTS,['Tattoo back'],['Computer'; 'Construction'],Time,Food_TesterCivilian_Guard,['Shoe_Tester'],12/6/2014,5/2/2019,NA
1558,German,14/7/1979,Married,6,CULTURE,['Dark skin'; 'No teeth'],['Electrical'; 'Computer'],Voluntarily,Boulder_Reducer,['Computer_Repair'; 'Shoe_Tester'; 'Shoe_Tester'; 'Construction'; 'Office_Worker'],10/10/2016,8/9/2018,NA
4629,English,22/2/1987,Single,7,BEHAVIOR,['Tattoo back'],['Electrical'; 'Electrical'],Exhaustion,Boulder_Reducer,['Ditch_Digger'; 'Food_TesterCivilian_Guard'; 'Shoe_Tester'; 'Food_TesterCivilian_Guard'],9/28/2016,9/6/2019,NA
6685,Italian,19/6/1985,Single,1,PARENTS,['Crafty'; 'Low IQ'],['Electrical'],Voluntarily,Shoe_Tester,['Shoe_Tester'],10/18/2012,11/14/2019,NA
6357,English,19/9/1984,Single,6,CULTURE,['Crafty'; 'Crafty'],['Mechanical'; 'Mathematics'],Voluntarily,Farmer,['Construction'; 'Ditch_Digger'; 'Shoe_Tester'],6/20/2016,8/15/2017,NA
6997,Ghanaian,7/6/1984,Married,3,DEBT,['Tattoo forearm'],['Construction'; 'Strong'],Exhaustion,Boulder_Reducer,['Farmer'; 'Ditch_Digger'; 'Ditch_Digger'; 'Shoe_Tester'; 'Computer_Repair'; 'Ditch_Digger'],12/2/2010,8/11/2018,NA
6825,American,13/9/1995,Other,1,BEHAVIOR,['Scar on face'],['Construction'; 'Shoe-making'],Exhaustion,Boulder_Reducer,['Farmer'],5/27/2014,6/20/2018,NA
2725,German,13/10/1987,Married,4,BEHAVIOR,['Low IQ'],['Computer'; 'Mathematics'],Time,Shoe_Tester,['Ditch_Digger'; 'Farmer'; 'Food_TesterCivilian_Guard'; 'Office_Worker'; 'Boulder_Reducer'; 'Construction'],1/20/2012,3/26/2019,NA
2019,Israeli,8/3/1987,Married,5,BEHAVIOR,['Crafty'],['Strong'],NA,NA,['Construction'; 'Ditch_Digger'; 'Ditch_Digger'],5/21/2012,NA,9/2/2018
3279,Russian,8/7/1975,Other,2,PARENTS,['Low IQ'],['Mathematics'; 'Electrical'],NA,NA,['Construction'; 'Food_TesterCivilian_Guard'],1/2/2010,NA,6/12/2018
7051,Russian,9/11/1985,Single,4,DEBT,['Long legs'],['Mechanical'],Time,Farmer,['Computer_Repair'; 'Farmer'; 'Food_TesterCivilian_Guard'; 'Ditch_Digger'; 'Ditch_Digger'; 'Food_TesterCivilian_Guard'],7/25/2016,8/3/2019,NA
487,American,25/2/1979,Other,0,PARENTS,['Scar on face'],['Construction'],Voluntarily,Office_Worker,['Construction'],3/1/2012,2/22/2017,NA
6065,Russian,25/7/1984,Single,4,BEHAVIOR,['One arm'; 'No teeth'],['Shoe-making'; 'Mechanical'],Time,Shoe_Tester,['Computer_Repair'; 'Boulder_Reducer'; 'Shoe_Tester'; 'Farmer'; 'Farmer'],2/5/2010,5/19/2017,NA
3900,Italian,15/6/1987,Single,1,PARENTS,['One arm'],['Construction'],NA,NA,['Construction'; 'Computer_Repair'],2/8/2016,NA,5/19/2018
8925,Russian,18/5/1979,Other,7,CULTURE,['Tattoo forearm'],['Shoe-making'],Exhaustion,Shoe_Tester,['Office_Worker'],11/18/2010,8/19/2019,NA
4116,Russian,11/11/1975,Married,3,DEBT,['Dark skin'; 'One arm'],['Construction'; 'Typing'],Voluntarily,Office_Worker,NA,6/5/2010,6/5/2010,NA
2607,Ghanaian,23/11/1979,Single,2,PARENTS,['Scar arm'; 'Dark skin'],['Construction'],Voluntarily,Food_TesterCivilian_Guard,['Shoe_Tester'; 'Boulder_Reducer'; 'Computer_Repair'; 'Shoe_Tester'; 'Office_Worker'; 'Ditch_Digger'],4/10/2010,10/1/2019,NA
1303,English,2/6/1979,Single,2,DEBT,['Long legs'],['Construction'; 'Construction'],Time,Farmer,['Shoe_Tester'; 'Farmer'; 'Boulder_Reducer'; 'Boulder_Reducer'; 'Shoe_Tester'; 'Computer_Repair'],3/9/2010,12/14/2018,NA
8041,German,20/5/1975,Married,3,CULTURE,['Tattoo forearm'],['Mechanical'],NA,NA,['Food_TesterCivilian_Guard'; 'Shoe_Tester'; 'Ditch_Digger'],8/25/2014,NA,6/24/2018
2780,German,3/4/1984,Other,5,BEHAVIOR,['Long legs'; 'Scar arm'],['Typing'; 'Electrical'],Voluntarily,Ditch_Digger,['Farmer'; 'Food_TesterCivilian_Guard'; 'Office_Worker'; 'Ditch_Digger'; 'Food_TesterCivilian_Guard'; 'Office_Worker'],5/25/2016,11/15/2019,NA
2424,American,6/5/1985,Single,2,DEBT,['Scar arm'; 'Tattoo back'],['Mathematics'],NA,NA,['Food_TesterCivilian_Guard'],4/17/2016,NA,3/8/2018
7811,German,13/9/1975,Other,3,CULTURE,['Scar on face'; 'Tattoo back'],['Mechanical'],Time,Ditch_Digger,['Farmer'; 'Office_Worker'],6/7/2012,2/24/2017,NA
7786,Russian,16/2/1965,Other,6,CULTURE,['Scar on face'; 'Tattoo forearm'],['Mechanical'; 'Construction'],Exhaustion,Construction,['Computer_Repair'; 'Farmer'],8/7/2014,2/19/2017,NA
3153,American,22/9/1965,Other,0,DEBT,['No teeth'],['Construction'; 'Computer'],Exhaustion,Farmer,['Computer_Repair'; 'Farmer'],7/4/2010,2/19/2017,NA
5019,English,6/2/1975,Other,2,PARENTS,['Scar arm'; 'No teeth'],['Typing'; 'Mechanical'],Exhaustion,Office_Worker,['Construction'],3/5/2012,5/23/2019,NA
351,Russian,23/8/1995,Other,1,PARENTS,['Crafty'],['Mathematics'; 'Computer'],Time,Ditch_Digger,['Food_TesterCivilian_Guard'; 'Food_TesterCivilian_Guard'; 'Shoe_Tester'; 'Food_TesterCivilian_Guard'; 'Construction'],11/18/2010,6/2/2018,NA
3716,Israeli,18/3/1975,Single,3,CULTURE,['Scar arm'; 'Tattoo forearm'],['Typing'],Exhaustion,Farmer,['Computer_Repair'],8/27/2012,7/27/2019,NA
3478,German,10/3/1985,Other,7,BEHAVIOR,['Low IQ'],['Typing'],NA,NA,['Farmer'],6/5/2014,NA,2/11/2018
3878,Ghanaian,19/12/1965,Other,3,CULTURE,['Low IQ'; 'Scar on face'],['Mechanical'],Exhaustion,Construction,['Ditch_Digger'; 'Food_TesterCivilian_Guard'],3/3/2010,6/9/2017,NA
9971,English,19/7/1987,Single,1,CULTURE,['Tattoo forearm'; 'Tattoo forearm'],['Computer'],Voluntarily,Food_TesterCivilian_Guard,['Office_Worker'; 'Office_Worker'; 'Construction'; 'Office_Worker'],9/12/2014,10/23/2019,NA
5952,Ghanaian,15/8/1975,Single,6,BEHAVIOR,['Tattoo back'],['Mathematics'],Voluntarily,Office_Worker,['Construction'],8/9/2012,10/25/2019,NA
3101,English,18/5/1975,Single,4,DEBT,['One arm'; 'Tattoo back'],['Strong'],Voluntarily,Boulder_Reducer,['Boulder_Reducer'; 'Construction'; 'Shoe_Tester'; 'Computer_Repair'],11/17/2014,9/1/2018,NA
